Date,Item Description,Category,Quantity,Price per Unit,Total Price,Store,,
2025-01-10,Whole Bread,Groceries,,3.27,1.73,Walmart,Discounted,
2025-01-10,Chicken Rich Hup,Beverages,,19.97,19.97,Walmart,,
2025-01-10,Oasis Mango,Juice,,4.48,4.48,Walmart,,
2025-01-10,Oasis Mango,Juice,,4.48,4.48,Walmart,,
2025-01-10,NN Cann Sardines,Groceries,2,1.25,2.5,No Frills,,
2025-01-10,Ovaltine Bisc WI,Groceries,1,1.99,1.99,No Frills,,
2025-01-10,Sliced White Bread,Groceries,1,3.89,3.89,No Frills,,
2025-01-12,Sprite,Beverages,1,,3.99,Loblaws,,
2025-01-12,Indomie Noodles,Groceries,1,,3,Loblaws,,
2025-01-12,Ovaltine Classic Malt,Groceries,1,,4.99,Loblaws,,
2025-01-12,Tiger Malt,Beverages,3,,3.87,Loblaws,,
2025-01-12,Recreation Children Group,Medicine,1,,14.99,Loblaws,,
2025-01-12,Reusable Short PC,Groceries,1,,0.35,Loblaws,,
2025-01-12,HST,,,,1.99,Loblaws,,
2025-01-12,Sardines ,Groceries,2,1.49,2.98,Food Basics,,
2025-01-12,Sardines ,Groceries,2,1.49,2.98,Food Basics,,
2025-01-12,Menthos ,Groceries,2,0.99,1.98,Food Basics,,
2025-01-12,Clementine ,Fruits & Vegetables,,,2.82,Food Basics,,
2025-01-12,Banana,Fruits & Vegetables,,,1.35,Food Basics,,
2025-01-14,Milk,Dairy,,,7.09,Loblaws,,
2025-01-14,PRIMO PENNE LISC,Groceries,1,,2.29,Food Basics,,
2025-01-14,RAISBR CER,Groceries,,,5.99,Food Basics,,
2025-01-14,CEDAR SARDINE,Groceries,2,,2.98,Food Basics,,
2025-01-14,UNICO TOM. PASTE,Groceries,2,,2.58,Food Basics,,
2025-01-14,Digestive,Snacks,,,2.99,Food Basics,,
2025-01-14,CARROT BABY CUT,Fruits & Vegetables,1,,3.48,Food Basics,,
2025-01-14,PREMIUM BANANA,Fruits & Vegetables,,,1.42,Food Basics,,
2025-01-14,SWEET POTATO,Fruits & Vegetables,,,8.58,Food Basics,,
2025-01-14,ST-IVES OATM. SHE,Snacks,1,,5.99,Food Basics,,
2025-01-14,CHOCO. CHIP AND C,Snacks,1,,6.49,Food Basics,,
2025-01-14,IRRS. BUTTER CROI,Snacks,1,,5.99,Food Basics,,
2025-01-14,HST,Tax,,,0.78,Food Basics,,
2025-01-16,Cedar Sardines ,Groceries,6,1.49,8.94,Food Basics,,
2025-01-16,Activa Vanilla Yogurt ,Dairy,,,3.99,Food Basics,,
2025-01-17,Ann,,,,18.61,Walmart ,,
2025-01-18,GV 1L APPLE,Groceries,,,2.27,Walmart ,,
2025-01-18,GV PURE 1000,Groceries,,,11.97,Walmart ,,
2025-01-18,GV PURE 1000,Groceries,,,11.97,Walmart ,,
2025-01-18,EGGS 30,Groceries,,,9.18,Walmart ,,
2025-01-18,OASIS MANGO,Juice,,,4.48,Walmart ,,
2025-01-18,OASIS MANGO,Juice,,,4.48,Walmart ,,
2025-01-18,GLAD WASTE,Groceries,,,6.97,Walmart ,,
2025-01-18,GLAD WASTE,Groceries,,,6.97,Walmart ,,
2025-01-18,GLAD WASTE,Groceries,,,6.97,Walmart ,,
2025-01-18,GLAD WASTE,Groceries,,,6.97,Walmart ,,
2025-01-18,HST,Tax,,,3.92,Walmart ,,
2025-01-18,Ann,,,,28.2,Loblaws,,
2025-01-20,Val .363SH.TRI.5R,Grocery,,,7.49,Food Basics,,
2025-01-20,Carrot Baby Cut,Produce,,,3.48,Food Basics,,
2025-01-20,Premium Banana (1.425 kg @ $1.30/kg),Produce,,,1.85,Food Basics,,
2025-01-20,Green Cabbage (3.060 kg @ $1.94/kg),Produce,,,5.94,Food Basics,,
2025-01-20,Bagged Avocados,Produce,,,3.98,Food Basics,,
2025-01-20,Sweet Purple Potato (1.270 kg @ $3.26/kg),Produce,,,4.14,Food Basics,,
2025-01-20,Chocolate Chip Banana,Bakery,,,6.49,Food Basics,,
2025-01-20,Selection Orig.T,Bakery,,,4.99,Food Basics,,
2025-01-20,Irrs. Butter Croissant,Bakery,,,5.99,Food Basics,,
2025-01-20,BBQ Halal Chicken,Hot Foods,,,9.97,Food Basics,,
2025-01-20,HST,,,,0.97,Food Basics,,
2025-01-20,Cedar Sardine (2 @ $1.49),Groceries,2,,2.98,Food Basics,,
2025-01-20,Cedar Sardine (2 @ $1.49),Groceries,2,,2.98,Food Basics,,
2025-01-20,Goldseal Soya Oil (6 @ $1.49),Groceries,6,,8.94,Food Basics,,
2025-01-21,Resolve - Cleaning,Groceries,,,10.76,Dollarama,,
2025-01-22,VASELINE TRVL 100G,Groceries,,,4.51,Longos,,
2025-01-22,Fried Chicken,Hot Foods,,,16,Loblaws,,
2025-01-23,Fanta Orange,Grocery,2,4.99,,Loblaws,,
2025-01-23,Coca-Cola Classic,Grocery,2,4.99,9,Loblaws,,
2025-01-23,Mentos Fruit,Grocery,2,1.79,3,Loblaws,,
2025-01-23,Homo 4L Milk,Dairy,1,7.09,7.09,Loblaws,,
2025-01-23,Wonder Bread White,Bakery,2,3.49,6,Loblaws,,
2025-01-24,FW Prlne Peanuts,Grocery,,,3,No Frills,,
2025-01-24,Apple Gala 4lb,Grocery,,,4.99,No Frills,,
2025-01-24,Coconut Pound Cake,Bakery,,,3.99,No Frills,,
2025-01-24,Oasis Mango,Juice,,,4.48,Walmart,,
2025-01-24,AW EM 3PK LV,Grocery,,,14.97,Walmart,,
2025-01-24,"Activia Vanilla Yogurt (2 items, discounted)",Dairy,,,9,Walmart,,
2025-01-24,HST,Tax,,,1.95,Walmart,,
2025-01-26,PC WOF BBQ,Snacks,,,1.79,Loblaws,,
2025-01-26,PCO CRT BBY 454G,Produce,,,4,Loblaws,,
2025-01-26,POTATO 10LB,Produce,,,5.8,Loblaws,,
2025-01-26,RCLA ORIG HERBS,Medicine,,,3.39,Loblaws,,
2025-01-26,RECTN CHLORN GRP,Medicine,,,14.99,Loblaws,,
2025-01-26,HST,Tax,,,2.39,Loblaws,,
2025-01-26,Stew Pork,Meat,,,5.63,Ton Tai,,
2025-01-26,Fresh Chicken Quarter Le,Meat,,,4.63,Ton Tai,,
2025-01-26,Fresh Chicken Drumstick (2.64 lbs),Meat,,,4.17,Ton Tai,,
2025-01-26,Fresh Chicken Drumstick (2.81 lbs),Meat,,,4.44,Ton Tai,,
2025-01-26,Sunkist Mandarin (3.21 lbs),Fruits & Vegetables,,,7.35,Ton Tai,,
2025-01-26,Mentos Fruit (2 for $3.00),Grocery,,,3,Loblaws,,
2025-01-26,Banana Choc Cake,Bakery,,,7,Loblaws,,
2025-01-26,FM Butter Croissant,Bakery,,,5,Loblaws,,
2025-01-26,Wonder Bread White,Bakery,,,3.49,Loblaws,,
2025-01-28,UNI TOM PAST,Grocery,,,4.47,Loblaws,,
2025-01-28,IP PENNE R,Grocery,,,3.49,Loblaws,,
2025-01-28,FM AVOCADO BAG,Produce,,,3,Loblaws,,
2025-01-28,Banana,Produce,,,1.58,Loblaws,,
2025-01-28,NANTES CARROTS,Produce,,,3.5,Loblaws,,
2025-01-28,FRST VLNT VN,Bakery,,,5,Loblaws,,
2025-01-28,HALAL CHICKEN,Meat,,,12.99,Loblaws,,
2025-01-31,CB CARAMK,Grocery,,,4.94,Walmart,,
2025-01-31,GV MX VEG FS,Fruits & Vegetables,,,5.98,Walmart,,
2025-01-31,TH HOT CHOC,Beverages,,,13.97,Walmart,,
2025-01-31,SS VIT D GUM,Medicine,,,14.97,Walmart,,
2025-01-31,LIQUID SOAP,Grocery,,,3.97,Walmart,,
2025-01-31,LIQUID SOAP,Grocery,,,3.97,Walmart,,
2025-01-31,OASIS 8X200,Juice,,,4.48,Walmart,,
2025-01-31,OASIS 8X200,Juice,,,4.48,Walmart,,
2025-01-31,WH BREAD,Bakery,,,2.5,Walmart,,
2025-01-31,WH BREAD,Bakery,,,2.5,Walmart,,
2025-01-31,Digestive Biscuit,Snacks,2,,6.54,No Frills,,
2025-01-31,Croissant,Snacks,,,5,No Frills,,
2025-01-31,OM Loaf Cakes,Snacks,,,8,No Frills,,
,,,2,,,,,
